GeneName	Description	Process
GK2	catalytic activity:ATP + glycerol = ADP + sn-glycerol 3-phosphatefunction:Key enzyme in the regulation of glycerol uptake and metabolismpathway:Polyol metabolism; glycerol degradation via glycerol kinase pathway; sn-glycerol 3-phosphate from glycerol: step 1/1similarity:Belongs to the FGGY kinase familysubcellular location:In sperm the majority of the enzyme is bound to mitochondria	Replication & Transcription
POLG	Involved in the replication of mitochondrial DNA	Replication & Transcription
EXOG	Endo/exonuclease with nicking activity towards supercoiled DNA, a preference for single stranded DNA and 5'-3' exonuclease activity (By similarity)	Replication & Transcription
NIF3L1	similarity:Belongs to the UPF0135 (NIF3) familysubunit:Homodimer (By similarity). Interacts with COPS2 and THOC7tissue specificity:Ubiquitous	Replication & Transcription
NT5M	cofactor:Magnesiumfunction:Dephosphorylates specifically the 5' and 2'(3')-phosphates of uracil and thymine deoxyribonucleotides, and so protects mitochondrial DNA replication from excess dTTP. Has only marginal activity towards dIMP and dGMPsimilarity:Belongs to the 5'(3')-deoxyribonucleotidase familysubunit:Homodimer	Replication & Transcription
DGUOK	Required for the phosphorylation of several deoxyribonucleosides and certain nucleoside analogs widely employed as antiviral and chemotherapeutic agents (By similarity)	Replication & Transcription
UNG	Excises uracil residues from the DNA which can arise as a result of misincorporation of dUMP residues by DNA polymerase or due to deamination of cytosine (By similarity)	Replication & Transcription
CMPK2	May participate in dUTP and dCTP synthesis in mitochondria. Is able to phosphorylate dUMP, dCMP, CMP, UMP and monophosphates of the pyrimidine nucleoside analogs ddC, dFdC, araC, BVDU and FdUrd with ATP as phosphate donor (By similarity)	Replication & Transcription
MTERFD2	MTERF domain containing 2	Replication & Transcription
TOP1MT	similarity:Belongs to the eukaryotic type I topoisomerase family	Replication & Transcription
TK2	catalytic activity:ATP + thymidine = ADP + thymidine 5'-phosphatefunction:Deoxyribonucleoside kinase that phosphorylates thymidine, deoxycytidine, and deoxyuridine. Also phosphorylates anti-viral and anti-cancer nucleoside analogssimilarity:Belongs to the DCK/DGK familysubunit:Homodimertissue specificity:Found in most tissues; highly expressed in liver	Replication & Transcription
DHX30	PTM:Isoform 3 is phosphorylated on Ser-15similarity:Belongs to the DEAD box helicase family. DEAH subfamilysimilarity:Contains 1 DRBM (double-stranded RNA-binding) domainsimilarity:Contains 1 helicase ATP-binding domainsimilarity:Contains 1 helicase C-terminal domainsubunit:Identified in a complex with TFAM and SSBP1	Replication & Transcription
TFB1M	S-adenosyl-L-methionine-dependent methyltransferase which specifically dimethylates mitochondrial 12S rRNA at the conserved stem loop. Also required for basal transcription of mitochondrial DNA, probably via its interaction with POLRMT and TFAM. Stimulates transcription independently of the methyltransferase activity (By similarity)	Replication & Transcription
RNASEH1	Endonuclease that specifically degrades the RNA of RNA- DNA hybrids (By similarity)	Replication & Transcription
MTERFD1	MTERF domain containing 1	REplication & Transcription
TOP3A	Reduces the number of supercoils in a highly negatively supercoiled DNA. Essential component of the RMI complex, a complex that plays an important role in the processing of homologous recombination intermediates to limit DNA crossover formation in cells (By similarity)	Replication & Transcription
NTHL1	catalytic activity:The C-O-P bond 3' to the apurinic or apyrimidinic site in DNA is broken by a beta-elimination reaction, leaving a 3'-terminal unsaturated sugar and a product with a terminal 5'-phosphatecofactor:Binds 1 4Fe-4S cluster. The cluster is not important for the catalytic activity, but which is probably involved in the proper positioning of the enzyme along the DNA strandfunction:Has both an apurinic and/or apyrimidinic endonuclease activity and a DNA N-glycosylase activity. Incises damaged DNA at cytosines, thymines and guanines. Acts on a damaged strand, 5' from the damaged site. Required for the repair of both oxidative DNA damage and spontaneous mutagenic lesionssimilarity:Belongs to the nth/mutY familytissue specificity:Widely expressed	Replication & Transcription
MTERF1B	paralog to Mterf1a: Transcription termination factor. Binds to a 28 bp region within the tRNA(Leu(uur)) gene at a position immediately adjacent to and downstream of the 16S rRNA gene, this region comprises a tridecamer sequence critical for directing accurate termination. Probably requires one or more components for termination activity (By similarity)	Replication & Transcription
TFB2M	S-adenosyl-L-methionine-dependent methyltransferase which specifically dimethylates mitochondrial 12S rRNA at the conserved stem loop. Also required for basal transcription of mitochondrial DNA, probably via its interaction with POLRMT and TFAM. Stimulates transcription independently of the methyltransferase activity	Replication & Transcription
MTERF1A	Transcription termination factor. Binds to a 28 bp region within the tRNA(Leu(uur)) gene at a position immediately adjacent to and downstream of the 16S rRNA gene, this region comprises a tridecamer sequence critical for directing accurate termination. Probably requires one or more components for termination activity (By similarity)	Replication & Transcription
MUTYH	cofactor:Binds 1 4Fe-4S cluster. The cluster is not important for the catalytic activity, but which is probably involved in the proper positioning of the enzyme along the DNA strandfunction:Involved in oxidative DNA damage repair. Initiates repair of A*oxoG to C*G by removing the inappropriately paired adenine base from the DNA backbone. Possesses both adenine and 2-OH-A DNA glycosylase activitiessimilarity:Belongs to the nth/mutY familysimilarity:Contains 1 nudix hydrolase domain	Replication & Transcription
MGME1	similarity: The protein encoded by this gene is a nuclear-encoded mitochondrial protein necessary for the maintenance of mitochondrial genome synthesis. The encoded protein is a RecB-type exonuclease and primarily cleaves single-stranded DNA. Defects in this gene have been associated with mitochondrial DNA depletion syndrome-11. Three transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2015],	Replication & Transcription
APEX2	May participate in both nuclear and mitochondrial post- replicative base excision repair (BER). In the nucleus functions in the PCNA-dependent BER pathway	Replication & Transcription
PIF1	disruption phenotype:Mice do not exhibit any change in telomere length in thymocytes or plenocytes nor significant change in chromosome gain or rearrangementsfunction:DNA-dependent ATPase and DNA helicase inhibiting telomerase activity by unwinding DNA/RNA duplex formed by telomerase RNA and telomeric DNA in a 5' to 3' polarity. Negatively regulates telomere length and such inhibition requires its ATPase activity. Tightly cell cycle-regulated and expressed in late S/G2 phasesimilarity:Belongs to the helicase familysubunit:Interacts with telomerase	Replication & Transcription
POLG2	Mitochondrial polymerase processivity subunit. Stimulates the polymerase and exonuclease activities, and increases the processivity of the enzyme. Binds to ss-DNA	Replication & Transcription
ALKBH1	similarity: This gene encodes a homolog to the E. coli alkB gene product. The E. coli alkB protein is part of the adaptive response mechanism of DNA alkylation damage repair. It is involved in damage reversal by oxidative demethylation of 1-methyladenine and 3-methylcytosine. [provided by RefSeq, Jul 2008],	Replication & Transcription
DNA2	May function in chromosomal DNA replication (By similarity)	Replication & Transcription
MGST3	microsomal glutathione S-transferase 3	ROS Defense
GCLC	catalytic activity:ATP + L-glutamate + L-cysteine = ADP + phosphate + gamma-L-glutamyl-L-cysteineenzyme regulation:Feedback inhibition by glutathionepathway:Sulfur metabolism; glutathione biosynthesis; glutathione from L-cysteine and L-glutamate: step 1/2similarity:Belongs to the glutamate--cysteine ligase type 3 familysubunit:Heterodimer of a catalytic heavy chain and a regulatory light chain	ROS Defense
GCLM	pathway:Sulfur metabolism; glutathione biosynthesis; glutathione from L-cysteine and L-glutamate: step 1/2similarity:Belongs to the aldo/keto reductase family. Glutamate--cysteine ligase light chain subfamilysubunit:Heterodimer of a catalytic heavy chain and a regulatory light chain	ROS Defense
GSS	catalytic activity:ATP + gamma-L-glutamyl-L-cysteine + glycine = ADP + phosphate + glutathionepathway:Sulfur metabolism; glutathione biosynthesis; glutathione from L-cysteine and L-glutamate: step 2/2similarity:Belongs to the eukaryotic GSH synthase familysubunit:Homodimer	ROS Defense
GSTA1	Conjugation of reduced glutathione to a wide number of exogenous and endogenous hydrophobic electrophiles	ROS Defense
GSTA2	Conjugation of reduced glutathione to a wide number of exogenous and endogenous hydrophobic electrophiles	ROS Defense
GSTP1	Conjugation of reduced glutathione to a wide number of exogenous and endogenous hydrophobic electrophiles. Can metabolize 1-chloro-2,4-dinitrobenzeneConjugation of reduced glutathione to a wide number of exogenous and endogenous hydrophobic electrophiles. Cannot metabolize 1-chloro-2,4-dinitrobenzene	ROS Defense
GSTP2	Conjugation of reduced glutathione to a wide number of exogenous and endogenous hydrophobic electrophiles. Can metabolize 1-chloro-2,4-dinitrobenzeneConjugation of reduced glutathione to a wide number of exogenous and endogenous hydrophobic electrophiles. Cannot metabolize 1-chloro-2,4-dinitrobenzene	ROS Defense
MSRB3	Catalyzes the reduction of free and protein-bound methionine sulfoxide to methionine (By similarity)	ROS Defense
NGB	This gene encodes an oxygen-binding protein that is distantly related to members of the globin gene family. It is highly conserved among other vertebrates. It is expressed in the central and peripheral nervous system where it may be involved in increasing oxygen availability and providing protection under hypoxic/ischemic conditions.	ROS Defense
PRDX1	Involved in redox regulation of the cell. Reduces peroxides with reducing equivalents provided through the thioredoxin system but not from glutaredoxin. May play an important role in eliminating peroxides generated during metabolism. Might participate in the signaling cascades of growth factors and tumor necrosis factor-alpha by regulating the intracellular concentrations of H(2)O(2)	ROS Defense
TLDC2	Involved in ROS defense by similarity to Yeast OXR1	ROS Defense
TXN1	ADF augments the expression of the interleukin-2 receptor TAC (IL2R/P55)Participates in various redox reactions through the reversible oxidation of its active center dithiol to a disulfide and catalyzes dithiol-disulfide exchange reactions (By similarity). Plays a role in the reversible S-nitrosylation of cysteine residues in target proteins, and thereby contributes to the response to intracellular nitric oxide. Nitrosylates the active site Cys of CASP3 in response to nitric oxide (NO), and thereby inhibits caspase-3 activity (By similarity)	ROS Defense
PRDX3	Involved in redox regulation of the cell. Protects radical-sensitive enzymes from oxidative damage by a radical- generating system	ROS Defense
SOD2	Destroys radicals which are normally produced within the cells and which are toxic to biological systems	ROS Defense
TXN2	Has an anti-apoptotic function and plays an important role in the regulation of mitochondrial membrane potential (By similarity). Possesses a dithiol-reducing activity	ROS Defense
MSRB2	Catalyzes the reduction of free and protein-bound methionine sulfoxide to methionine	ROS Defense
TXNRD2	Maintains thioredoxin in a reduced state. Implicated in the defenses against oxidative stress. May play a role in redox- regulated cell signaling	ROS Defense
MPV17	caution:Was initially thought to be a peroxisomal protein (PubMed:7957077). However, it was later shown in human that it is a mitochondrial protein (PubMed:16582907 and PubMed:16582910)disruption phenotype:Mice lack expression of this protein resulting in the development of adult onset nephrotic syndrome and chronic renal failure. They also develop severe morphological degeneration of the inner ear. In the inner ear, mice lacking Mpv17 display degenerative changes of the cochlear structures already at the age of 2 months. The degenerative changes are patchy arranged throughout the entire length of the cochlea and involved the organ of Corti as well as the stria vascularis epithelia with alterations of the basement membrane of the capillariesfunction:Involved in mitochondria homeostasis. May be involved in the metabolism of reactive oxygen species and control of oxidative phosphorylation and mitochondrial DNA (mtDNA) maintenancefunction:Required for RNA polymerase III-mediated transcription. Component of TFIIIC that initiates transcription complex assembly on tRNA and is required for transcription of 5S rRNA and other stable nuclear and cytoplasmic RNAs. May play a direct role in stabilizing interactions of TFIIIC2 with TFIIIC1similarity:Belongs to the peroxisomal membrane protein PXMP2/4 familysimilarity:Contains 4 WD repeatssubunit:Part of the TFIIIC subcomplex TFIIIC2, consisting of six subunits, GTF3C1, GTF3C2, GTF3C3, GTF3C4, GTF3C5 and GTF3C6tissue specificity:High levels in heart, kidney, and brain, intermediate levels in testis, and low levels in liver and spleen	ROS Defense
GSTK1	glutathione S-transferase kappa 1	ROS Defense
GSR	Maintains high levels of reduced glutathione in the cytosol	ROS Defense
SELO	selenoprotein O	ROS Defense
MSRA	Has an important function as a repair enzyme for proteins that have been inactivated by oxidation. Catalyzes the reversible oxidation-reduction of methionine sulfoxide in proteins to methionine (By similarity)	ROS Defense
GLRX2	Glutathione-dependent oxidoreductase that facilitates the maintenance of mitochondrial redox homeostasis upon induction of apoptosis by oxidative stress. Involved in response to hydrogen peroxide and regulation of apoptosis caused by oxidative stress. Acts as a very efficient catalyst of monothiol reactions because of its high affinity for protein glutathione-mixed disulfides. Can receive electrons not only from glutathione (GSH), but also from thioredoxin reductase supporting both monothiol and dithiol reactions. Efficiently catalyzes both glutathionylation and deglutathionylation of mitochondrial complex I, which in turn regulates the superoxide production by the complex. Overexpression decreases the susceptibility to apoptosis and prevents loss of cardiolipin and cytochrome c release	ROS Defense
PRDX5	Reduces hydrogen peroxide and alkyl hydroperoxides with reducing equivalents provided through the thioredoxin system. Involved in intracellular redox signaling	ROS Defense
ROMO1	Induces production of reactive oxygen species (ROS) which are necessary for cell proliferation. May play a role in inducing oxidative DNA damage and replicative senescence (By similarity)	ROS Defense
GPX1	Protects the hemoglobin in erythrocytes from oxidative breakdown	ROS Defense
MPV17L	Isoform 1 and isoform 3 participate in reactive oxygen species metablism by up- or down-regulation of the genes of antioxidant enzymes	ROS Defense
CAT	Occurs in almost all aerobically respiring organisms and serves to protect cells from the toxic effects of hydrogen peroxide (By similarity)Occurs in almost all aerobically respiring organisms and serves to protect cells from the toxic effects of hydrogen peroxide. Promotes growth of cells	ROS Defense
NUDT2	Asymmetrically hydrolyzes Ap4A to yield AMP and ATP. Plays a major role in maintaining homeostasis (By similarity)	ROS Defense
GSTO1	glutathione S-transferase omega 1	ROS Defense
MGST1	Conjugation of reduced glutathione to a wide number of exogenous and endogenous hydrophobic electrophiles (By similarity)	ROS Defense
TXNRD1	catalytic activity:Thioredoxin + NADP(+) = thioredoxin disulfide + NADPHcofactor:Binds 1 FAD per subunitmiscellaneous:The active site is a redox-active disulfide bond. The selenocysteine residue is also essential for catalytic activitysequence caution:Translated as Secsimilarity:Belongs to the class-I pyridine nucleotide-disulfide oxidoreductase familysubunit:Homodimer	ROS Defense
PRDX6	peroxiredoxin 6	ROS Defense
SOD1	similarity: Destroys radicals which are normally produced within the cells and which are toxic to biological systems	ROS Defense
PRDX6B	peroxiredoxin 6B	ROS Defense
OXR1	May be involved in protection from oxidative damage	ROS Defense
OGG1	DNA repair enzyme that incises DNA at 8-oxoG residues. Excises 7,8-dihydro-8-oxoguanine and 2,6-diamino-4-hydroxy-5-N- methylformamidopyrimidine (FAPY) from damaged DNA. Has a beta- lyase activity that nicks DNA 3' to the lesion	ROS Defense
PRDX2	peroxiredoxin 2	ROS Defense
PARK7	function:Acts as a positive regulator of androgen receptor-dependent transcription. May function as a redox-sensitive chaperone and as a sensor for oxidative stress. Prevents aggregation of SNCA. Protects neurons against oxidative stress and cell death. Plays a role in fertilization. Has no proteolytic activity. Has cell-growth promoting activity and transforming activityPTM:Sumoylated on Lys-130 by pias2 or pias4; which is essential for cell-growth promoting activity and transforming activitysimilarity:Belongs to the peptidase C56 familysubcellular location:Associated with mitochondria in some cells, particularly after oxidative stresssubunit:Homodimer. Binds EFCAB6/DJBP and PIAS2. Part of a ternary complex containing PARK7, EFCAB6/DJBP and AR	ROS Defense
PRDX4	peroxiredoxin 4	ROS Defense
GPX4	Could play a major role in protecting mammals from the toxicity of ingested lipid hydroperoxides. Essential for embryonic development. Protects from radiation and oxidative damage. Stabilizes the condensed chromatin in sperm nuclei and is necessary for male fertilityMay bind RNA and play a role in mRNA processing (By similarity)Protects cells against membrane lipid peroxidation and cell death. Isoform mitochondrial is required for normal sperm development and male fertility. Could play a major role in protecting mammals from the toxicity of ingested lipid hydroperoxides. Essential for embryonic development. Protects from radiation and oxidative damage	ROS Defense
ARNT	This gene encodes a protein containing a basic helix-loop-helix domain and two characteristic PAS domains along with a PAC domain. The encoded protein binds to ligand-bound aryl hydrocarbon receptor and aids in the movement of this complex to the nucleus, where it promotes the expression of genes involved in xenobiotic metabolism. This protein is also a co-factor for transcriptional regulation by hypoxia-inducible factor 1. Chromosomal translocation of this locus with the ETV6 (ets variant 6) gene on chromosome 12 have been described in leukemias. 	Transcription (nuclear)
ATF4	This gene encodes a transcription factor that was originally identified as a widely expressed mammalian DNA binding protein that could bind a tax-responsive enhancer element in the LTR of HTLV-1. The encoded protein was also isolated and characterized as the cAMP-response element binding protein 2 (CREB-2). The protein encoded by this gene belongs to a family of DNA-binding proteins that includes the AP-1 family of transcription factors, cAMP-response element binding proteins (CREBs) and CREB-like proteins. These transcription factors share a leucine zipper region that is involved in protein-protein interactions, located C-terminal to a stretch of basic amino acids that functions as a DNA binding domain. Two alternative transcripts encoding the same protein have been described. 	Transcription (nuclear)
CREB1	similarity: This protein binds the cAMP response element (CRE), a sequence present in many viral and cellular promoters. CREB stimulates transcription on binding to the CRE. Transciption activation is enhanced by the TORC coactivators which act independently of Ser-133 phosphorylation. Implicated in synchronization of circadian rhythmicity	Transcription (nuclear)
E2F1	The protein encoded by this gene is a member of the E2F family of transcription factors. The E2F family plays a crucial role in the control of cell cycle and action of tumor suppressor proteins and is also a target of the transforming proteins of small DNA tumor viruses. The E2F proteins contain several evolutionally conserved domains found in most members of the family. These domains include a DNA binding domain, a dimerization domain which determines interaction with the differentiation regulated transcription factor proteins (DP), a transactivation domain enriched in acidic amino acids, and a tumor suppressor protein association domain which is embedded within the transactivation domain. This protein and another 2 members, E2F2 and E2F3, have an additional cyclin binding domain. This protein binds preferentially to retinoblastoma protein pRB in a cell-cycle dependent manner. It can mediate both cell proliferation and p53-dependent/independent apoptosis. 	Transcription (nuclear)
ESRRA	The protein encoded by this gene is a nuclear receptor that is most closely related to the estrogen receptor. This protein acts as a site-specific transcription factor and interacts with members of the PGC-1 family of transcription cofactors to regulate the expression of most genes involved in cellular energy production as well as in the process of mitochondrial biogenesis. 	Transcription (nuclear)
FOXO3	This gene belongs to the forkhead family of transcription factors which are characterized by a distinct forkhead domain. This gene likely functions as a trigger for apoptosis through expression of genes necessary for cell death. Translocation of this gene with the MLL gene is associated with secondary acute leukemia. Alternatively spliced transcript variants encoding the same protein have been observed.	Transcription (nuclear)
GABPA	This gene encodes one of three GA-binding protein transcription factor subunits which functions as a DNA-binding subunit. Since this subunit shares identity with a subunit encoding the nuclear respiratory factor 2 gene, it is likely involved in activation of cytochrome oxidase expression and nuclear control of mitochondrial function. This subunit also shares identity with a subunit constituting the transcription factor E4TF1, responsible for expression of the adenovirus E4 gene. Because of its chromosomal localization and ability to form heterodimers with other polypeptides, this gene may play a role in the Down Syndrome phenotype.	Transcription (nuclear)
HIF1A	This gene encodes the alpha subunit of transcription factor hypoxia-inducible factor-1 (HIF-1), which is a heterodimer composed of an alpha and a beta subunit. HIF-1 functions as a master regulator of cellular and systemic homeostatic response to hypoxia by activating transcription of many genes, including those involved in energy metabolism, angiogenesis, apoptosis, and other genes whose protein products increase oxygen delivery or facilitate metabolic adaptation to hypoxia. HIF-1 thus plays an essential role in embryonic vascularization, tumor angiogenesis and pathophysiology of ischemic disease. Alternatively spliced transcript variants encoding different isoforms have been identified for this gene. 	Transcription (nuclear)
JUN	This gene is the putative transforming gene of avian sarcoma virus 17. It encodes a protein which is highly similar to the viral protein, and which interacts directly with specific target DNA sequences to regulate gene expression. This gene is intronless and is mapped to 1p32-p31, a chromosomal region involved in both translocations and deletions in human malignancies.	Transcription (nuclear)
MITF	The protein encoded by this gene is a transcription factor that contains both basic helix-loop-helix and leucine zipper structural features. The encoded protein regulates melanocyte development and is responsible for pigment cell-specific transcription of the melanogenesis enzyme genes. Heterozygous mutations in the this gene cause auditory-pigmentary syndromes, such as Waardenburg syndrome type 2 and Tietz syndrome.	Transcription (nuclear)
MYC	The protein encoded by this gene is a multifunctional, nuclear phosphoprotein that plays a role in cell cycle progression, apoptosis and cellular transformation. It functions as a transcription factor that regulates transcription of specific target genes. Mutations, overexpression, rearrangement and translocation of this gene have been associated with a variety of hematopoietic tumors, leukemias and lymphomas, including Burkitt lymphoma, in human. There is evidence to show that alternative translation initiations from an upstream, in-frame non-AUG (CUG) and a downstream AUG start site result in the production of two isoforms with distinct N-termini, in human and mouse. Under conditions of stress, such as high cell densities and methionine deprivation, there is a specific and dramatic increase in the synthesis of the non-AUG initiated protein, suggesting its importance in times of adversity. Alternative splicing results in multiple transcript variants.	Transcription (nuclear)
NRF1	Transcription factor that activates the expression of the EIF2S1 (EIF2-alpha) gene. Links the transcriptional modulation of key metabolic genes to cellular growth and development. Implicated in the control of nuclear genes required for respiration, heme biosynthesis, and mitochondrial DNA transcription and replication (By similarity)	Transcription (nuclear)
PPARA	Peroxisome proliferators include hypolipidemic drugs, herbicides, leukotriene antagonists, and plasticizers; this term arises because they induce an increase in the size and number of peroxisomes. Peroxisomes are subcellular organelles found in plants and animals that contain enzymes for respiration and for cholesterol and lipid metabolism. The action of peroxisome proliferators is thought to be mediated via specific receptors, called PPARs, which belong to the steroid hormone receptor superfamily. PPARs affect the expression of target genes involved in cell proliferation, cell differentiation and in immune and inflammation responses. Three closely related subtypes (alpha, beta/delta, and gamma) have been identified. This gene encodes the subtype PPAR-alpha, which is a nuclear transcription factor. 	Transcription (nuclear)
PPARG	This gene encodes a nuclear receptor protein belonging to the peroxisome proliferator-activated receptor (Ppar) family. The encoded protein is a ligand-activated transcription factor that is involved in the regulation of adipocyte differentiation and glucose homeostasis. The encoded protein forms a heterodimer with retinoid X receptors and binds to DNA motifs termed peroxisome proliferator response elements to either activate or inhibit gene expression. Mice lacking the encoded protein die at an embryonic stage due to severe defects in placental vascularization. When the embryos lacking this gene are supplemented with healthy placentas, the mutants survive to term, but succumb to lipodystrophy and multiple hemorrhages. Alternative splicing results in multiple transcript variants encoding different isoforms. 	Transcription (nuclear)
PPARGC1A	similarity: Transcriptional coactivator for steroid receptors and nuclear receptors. Greatly increases the transcriptional activity of PPARG and thyroid hormone receptor on the uncoupling protein promoter. Can regulate key mitochondrial genes that contribute to the program of adaptive thermogenesis (By similarity)	Transcription (nuclear)
PPARGC1B	The protein encoded by this gene stimulates the activity of several transcription factors and nuclear receptors, including estrogen receptor alpha, nuclear respiratory factor 1, and glucocorticoid receptor. The encoded protein may be involved in fat oxidation, non-oxidative glucose metabolism, and the regulation of energy expenditure. This protein is downregulated in prediabetic and type 2 diabetes mellitus patients. Certain allelic variations in this gene increase the risk of the development of obesity. 	Transcription (nuclear)
PPRC1	The protein encoded by this gene is similar to PPAR-gamma coactivator 1 (PPARGC1/PGC-1), a protein that can activate mitochondrial biogenesis in part through a direct interaction with nuclear respiratory factor 1 (NRF1). This protein has been shown to interact with NRF1. It is thought to be a functional relative of PPAR-gamma coactivator 1 that activates mitochondrial biogenesis through NRF1 in response to proliferative signals. 	Transcription (nuclear)
RELA	NF-kappa-B is a ubiquitous transcription factor involved in several biological processes. It is held in the cytoplasm in an inactive state by specific inhibitors. Upon degradation of the inhibitor, NF-kappa-B moves to the nucleus and activates transcription of specific genes. NF-kappa-B is composed of NFKB1 or NFKB2 bound to either REL, RELA, or RELB. The most abundant form of NF-kappa-B is NFKB1 complexed with the product of this gene, RELA. Four transcript variants encoding different isoforms have been found for this gene.	Transcription (nuclear)
SP1	The protein encoded by this gene is a zinc finger transcription factor that binds to GC-rich motifs of many promoters. The encoded protein is involved in many cellular processes, including cell differentiation, cell growth, apoptosis, immune responses, response to DNA damage, and chromatin remodeling. Post-translational modifications such as phosphorylation, acetylation, glycosylation, and proteolytic processing significantly affect the activity of this protein, which can be an activator or a repressor. Three transcript variants encoding different isoforms have been found for this gene. 	Transcription (nuclear)
TFE3	This gene encodes a basic helix-loop-helix domain-containing transcription factor that binds MUE3-type E-box sequences in the promoter of genes. The encoded protein promotes the expression of genes downstream of transforming growth factor beta (TGF-beta) signaling. This gene may be involved in chromosomal translocations in renal cell carcinomas and other cancers, resulting in the production of fusion proteins. Translocation partners include PRCC (papillary renal cell carcinoma), NONO (non-POU domain containing, octamer-binding), and ASPSCR1 (alveolar soft part sarcoma chromosome region, candidate 1), among other genes (by similarity).	Transcription (nuclear)
TFEB	TFEB (Transcription Factor EB) is a Protein Coding gene. Diseases associated with TFEB include Renal Cell Carcinoma, Xp11-Associated and Microphthalmia. Among its related pathways are PI3K-AKT-mTOR signaling pathway and therapeutic opportunities and Apoptosis and Autophagy. Gene Ontology (GO) annotations related to this gene include DNA-binding transcription factor activity and protein dimerization activity. An important paralog of this gene is MITF.	Transcription (nuclear)
TRP53	This gene encodes tumor protein p53, which responds to diverse cellular stresses to regulate target genes that induce cell cycle arrest, apoptosis, senescence, DNA repair, or changes in metabolism. p53 protein is expressed at low level in normal cells and at a high level in a variety of transformed cell lines, where it's believed to contribute to transformation and malignancy. p53 is a DNA-binding protein containing transcription activation, DNA-binding, and oligomerization domains. It is postulated to bind to a p53-binding site and activate expression of downstream genes that inhibit growth and/or invasion, and thus function as a tumor suppressor. Mice deficient for this gene are developmentally normal but are susceptible to spontaneous tumors. Evidence to date shows that this gene contains one promoter, in contrast to alternative promoters of the human gene, and transcribes a few of splice variants which encode different isoforms, although the biological validity or the full-length nature of some variants has not been determined.	Transcription (nuclear)
YAP1	This gene encodes a protein which binds to the SH3 domain of the Yes proto-oncogene product, a tyrosine kinase. This protein contains a WW domain, consisting of four conserved aromatic amino acids including two tryptophan residues. This conserved WW domain is found in various structural, regulatory and signaling molecules in various species, and may play a role in protein-protein interaction. Following cellular damage, phosphorylation of this encoded protein may suppress apoptosis. This protein may be involved in malignant transformation in cancer. Alternative splicing results in multiple transcript variants.	Transcription (nuclear)
YY1	YY1 is a ubiquitously distributed transcription factor belonging to the GLI-Kruppel class of zinc finger proteins. The protein is involved in repressing and activating a diverse number of promoters. YY1 may direct histone deacetylases and histone acetyltransferases to a promoter in order to activate or repress the promoter, thus implicating histone modification in the function of YY1. 	Transcription (nuclear)
TRUB2	May be responsible for synthesis of pseudouridine from uracil in transfer RNAs (By similarity)	Translation
EIF2AK3	catalytic activity:ATP + a protein = ADP + a phosphoproteindomain:The lumenal domain senses perturbations in protein folding in the ER, probably through reversible interaction with HSPA5/BIPenzyme regulation:Perturbation in protein folding in the endoplasmic reticulum (ER) promotes reversible dissociation from HSPA5/BIP and oligomerization, resulting in transautophosphorylation and kinase activity inductionfunction:Phosphorylates the alpha subunit of eukaryotic translation-initiation factor 2 (EIF2), leading to its inactivation and thus to a rapid reduction of translational initiation and repression of global protein synthesis. Serves as a critical effector of unfolded protein response (UPR)-induced G1 growth arrest due to the loss of cyclin D1induction:By ER stressPTM:AutophosphorylatedPTM:N-glycosylatedsimilarity:Belongs to the protein kinase superfamily. Ser/Thr protein kinase family. GCN2 subfamilysimilarity:Contains 1 protein kinase domainsubunit:Forms dimers with HSPA5/BIP in resting cells. Oligomerizes in ER-stressed cells. Interacts with DNAJC3tissue specificity:Ubiquitous	Translation
GATB	catalytic activity:ATP + L-glutamyl-tRNA(Gln) + L-glutamine = ADP + phosphate + L-glutaminyl-tRNA(Gln) + L-glutamatefunction:Furnishes a means for formation of correctly charged Gln-tRNA(Gln) through the transamidation of misacylated Glu-tRNA(Gln) in the mitochondria. The reaction takes place in the presence of glutamine and ATP through an activated gamma-phospho-Glu-tRNA(Gln) similarity:Belongs to the gatB/gatE family. GatB subfamily	Translation
GLYATL3	similarity: Acyltransferase which transfers the acyl group to the N- terminus of glycine (By similarity)	Translation
MRM2	similarity: The protein encoded by this gene is a member of the S-adenosylmethionine-binding protein family. It is a nucleolar protein and it may be involved in the processing and modification of rRNA. This gene has been suggested to be involved in cell cycle control and DNA repair. [provided by RefSeq, Jul 2008],	Translation
MRM3	Probable RNA methyltransferase (By similarity)	Translation
MRPL57	miscellaneous:Identified only in the intact 55S subunit. It is unknown whether it belongs to the 28S or to the 39S subunit. May localize at the subunit interface and dissociate from the 55S mitoribosome during subunit separation	Translation
MRPL58	similarity:Belongs to the prokaryotic/mitochondrial release factor family	Translation
MTERF3	similarity:Belongs to the mTERF family	Translation
MTERF4	similarity:Belongs to the mTERF family	Translation
PIN4	catalytic activity:Peptidylproline (omega=180) = peptidylproline (omega=0)similarity:Belongs to the ppiC/parvulin rotamase family. PIN4 subfamilysimilarity:Contains 1 PpiC domain	Translation
QARS	similarity:Belongs to the class-I aminoacyl-tRNA synthetase family	Translation
RIDA	Catalyzes the hydrolytic deamination of enamine/imine intermediates that form during the course of normal metabolism. May facilitate the release of ammonia from these potentially toxic reactive metabolites, reducing their impact on cellular components. It may act on enamine/imine intermediates formed by several types of pyridoxal-5'-phosphate-dependent dehydratases including L-threonine dehydratase.	Translation
